Classes,Old Price,Price Change,New Price,date_range
Mitsubishi Eclipse Cross A/T / INFINITY - PL AWD 2025,"1,740,000
EGP","trending_down
-100,000
EGP","1,640,000
EGP",2025-11-18
Mitsubishi Eclipse Cross A/T / Instyle TL 2025,"1,660,000
EGP","trending_down
-100,000
EGP","1,560,000
EGP",2025-11-18
Mitsubishi Eclipse Cross A/T / Inspire - HL 2025,"1,600,000
EGP","trending_down
-100,000
EGP","1,500,000
EGP",2025-11-18
Mitsubishi Eclipse Cross A/T / Insport PLUS - ML PLUS 2025,"1,530,000
EGP","trending_down
-125,000
EGP","1,405,000
EGP",2025-11-18
Mitsubishi Eclipse Cross A/T / Insport BL 2025,"1,480,000
EGP","trending_down
-150,000
EGP","1,330,000
EGP",2025-11-18
GAC GS4 max A/T / Premium 2025,"1,440,000
EGP","trending_down
-90,000
EGP","1,350,000
EGP",2025-11-18
Changan CS 35 Plus A/T / FLAGSHIP 2025,"1,150,000
EGP","trending_down
-25,000
EGP","1,125,000
EGP",2025-11-16
Changan CS 35 Plus A/T / PREMIUM 2025,"1,050,000
EGP","trending_down
-20,000
EGP","1,030,000
EGP",2025-11-16
Changan CS 35 Plus A/T / ELITE 2025,"950,000
EGP","trending_down
-25,000
EGP","925,000
EGP",2025-11-16
Changan UNI-T A/T / Flagship 2025,"1,550,000
EGP","trending_down
-100,000
EGP","1,450,000
EGP",2025-11-16
Changan UNI-T A/T / Premium 2025,"1,450,000
EGP","trending_down
-100,000
EGP","1,350,000
EGP",2025-11-16
Haval H6 A/T / ULTRA 2026,"1,555,000
EGP","trending_down
-65,000
EGP","1,490,000
EGP",2025-11-16
Haval H6 A/T / Platinum 2026,"1,355,000
EGP","trending_down
-56,000
EGP","1,299,000
EGP",2025-11-16
Haval H6 HEV A/T / High Deluxe 2026,"1,590,000
EGP","trending_down
-100,000
EGP","1,490,000
EGP",2025-11-16
Haval H6 HEV A/T / High Deluxe 2025,"1,570,000
EGP","trending_down
-100,000
EGP","1,470,000
EGP",2025-11-16
Proton Saga A/T / Premium 2026,"670,000
EGP","trending_down
-20,100
EGP","649,900
EGP",2025-11-13
Toyota Corolla A/T / Elegance 2026,"1,650,000
EGP","trending_down
-150,000
EGP","1,500,000
EGP",2025-11-13
Toyota Corolla A/T / SMART 2026,"1,500,000
EGP","trending_down
-150,000
EGP","1,350,000
EGP",2025-11-13
Toyota Corolla AT / Comfort 2026,"1,400,000
EGP","trending_down
-150,000
EGP","1,250,000
EGP",2025-11-13
Toyota Corolla Automatic / Active 2026,"1,300,000
EGP","trending_down
-150,000
EGP","1,150,000
EGP",2025-11-13
Proton Saga A/T / Imported 2025,"670,000
EGP","trending_down
-20,000
EGP","650,000
EGP",2025-11-12
Citroën C4X A/T / Shine 2026,"1,449,000
EGP","trending_down
-100,000
EGP","1,349,000
EGP",2025-11-11
Citroën C4X A/T / Feel 2026,"1,289,000
EGP","trending_down
-90,000
EGP","1,199,000
EGP",2025-11-11
Haval Jolion Pro A/T / High Deluxe 2025,"1,340,000
EGP","trending_down
-141,000
EGP","1,199,000
EGP",2025-11-06
Haval H6 A/T / Platinum 2026,"1,399,000
EGP","trending_down
-44,000
EGP","1,355,000
EGP",2025-11-06
Haval Jolion A/T / High Deluxe 2025,"1,225,000
EGP","trending_down
-26,000
EGP","1,199,000
EGP",2025-11-06
Haval Jolion A/T / Deluxe SR 2025,"1,175,000
EGP","trending_down
-26,000
EGP","1,149,000
EGP",2025-11-06
Hyundai Ioniq 5 A/T / N BOOST (AWD) 2025,"3,750,000
EGP","trending_down
-500,000
EGP","3,250,000
EGP",2025-11-05
Hyundai Ioniq 5 A/T / EXTREME AWD 2025,"3,350,000
EGP","trending_down
-600,000
EGP","2,750,000
EGP",2025-11-05
Hyundai Ioniq 5 A/T / EXTREME 2025,"3,150,000
EGP","trending_down
-600,000
EGP","2,550,000
EGP",2025-11-05
Hyundai Ioniq 5 A/T /  CONNECT PLUS 2025,"2,750,000
EGP","trending_down
-600,000
EGP","2,150,000
EGP",2025-11-05
Hyundai Ioniq 6 A/T / EXTREME AWD 2025,"3,150,000
EGP","trending_down
-600,000
EGP","2,550,000
EGP",2025-11-05
Hyundai Ioniq 6 A/T / EXTREME RWD 2025,"2,950,000
EGP","trending_down
-600,000
EGP","2,350,000
EGP",2025-11-05
Hyundai Ioniq 6 A/T / CONNECT PLUS 2025,"2,700,000
EGP","trending_down
-600,000
EGP","2,100,000
EGP",2025-11-05
Hyundai Santa Fe Automtic 2025,"3,150,000
EGP","trending_down
-250,000
EGP","2,900,000
EGP",2025-11-05
Hyundai Santa Fe A/T / 4w 2025,"3,650,000
EGP","trending_down
-250,000
EGP","3,400,000
EGP",2025-11-05
Chevrolet Optra A/T / Ls 2026,"744,900
EGP","trending_down
-20,000
EGP","724,900
EGP",2025-11-04
Chevrolet Optra A/T / Lt 2026,"769,900
EGP","trending_down
-20,000
EGP","749,900
EGP",2025-11-04
Baic U5 plus A/T / Highline 2025,"749,900
EGP","trending_up
+20,000
EGP","769,900
EGP",2025-11-03
Ds Ds4 A/T / Trocadero 2025,"2,060,000
EGP","trending_down
-170,000
EGP","1,890,000
EGP",2025-11-03
Ds Ds4 A/T / Performance Line 2025,"2,200,000
EGP","trending_down
-200,000
EGP","2,000,000
EGP",2025-11-03
Hyundai Tucson A/T / N-Line 2025,"2,199,000
EGP","trending_down
-100,000
EGP","2,099,000
EGP",2025-11-02
Hyundai Tucson A/T / BLACK DIAMOND 2025,"2,099,000
EGP","trending_down
-100,000
EGP","1,999,000
EGP",2025-11-02
Hyundai Tucson A/T / NIGHT 2025,"1,999,000
EGP","trending_down
-100,000
EGP","1,899,000
EGP",2025-11-02
Hyundai Tucson A/T / Redine 2025,"1,900,000
EGP","trending_down
-151,000
EGP","1,749,000
EGP",2025-11-02
Hyundai Tucson A/T / Blaze 2025,"1,749,000
EGP","trending_down
-100,000
EGP","1,649,000
EGP",2025-11-02
Hyundai Tucson A/T / SHADOW 2025,"1,599,000
EGP","trending_down
-100,000
EGP","1,499,000
EGP",2025-11-02
Hyundai Tucson A/T / N-Line 2026,"2,250,000
EGP","trending_down
-100,000
EGP","2,150,000
EGP",2025-11-02
Hyundai Tucson A/T / BLACK DIAMOND 2026,"2,150,000
EGP","trending_down
-100,000
EGP","2,050,000
EGP",2025-11-02
Hyundai Tucson A/T / NIGHT 2026,"2,050,000
EGP","trending_down
-100,000
EGP","1,950,000
EGP",2025-11-02
Hyundai Tucson A/T / Redine 2026,"1,900,000
EGP","trending_down
-100,000
EGP","1,800,000
EGP",2025-11-02
Hyundai Tucson A/T / Blaze 2026,"1,800,000
EGP","trending_down
-100,000
EGP","1,700,000
EGP",2025-11-02
Hyundai Tucson A/T / SHADOW 2026,"1,650,000
EGP","trending_down
-100,000
EGP","1,550,000
EGP",2025-11-02
Kaiyi X3 Pro A/T / Flagship 2026,"849,900
EGP","trending_up
+10,000
EGP","859,900
EGP",2025-11-02
Kaiyi X3 Pro A/T / Top Line 2026,"810,000
EGP","trending_down
-10,005
EGP","799,995
EGP",2025-11-02
Rox 01 A/T / Family 7 seats 2025,"3,650,000
EGP","trending_down
-450,000
EGP","3,200,000
EGP",2025-11-02
Rox 01 A/T / Aviation 6 seats 2025,"3,735,000
EGP","trending_down
-435,000
EGP","3,300,000
EGP",2025-11-02
Volkswagen Golf A/T / Life 2025,"1,750,000
EGP","trending_down
-60,000
EGP","1,690,000
EGP",2025-10-28
Volkswagen Tiguan A/T / R-Line 2025,"2,550,000
EGP","trending_down
-200,000
EGP","2,350,000
EGP",2025-10-28
Baic X7 A/T / Premium 2025,"1,724,900
EGP","trending_down
-195,000
EGP","1,529,900
EGP",2025-10-27
Baic X7 A/T / Top Line 2025,"1,649,900
EGP","trending_down
-195,000
EGP","1,454,900
EGP",2025-10-27
Baic X7 A/T / Highline 2025,"1,574,900
EGP","trending_down
-195,000
EGP","1,379,900
EGP",2025-10-27
Volvo EX30 A/T / Twin Plus Performance 2025,"2,270,000
EGP","trending_down
-320,000
EGP","1,950,000
EGP",2025-10-21
Volvo EX30 A/T / Single Ultra Extended Range 2025,"2,230,000
EGP","trending_down
-431,000
EGP","1,799,000
EGP",2025-10-21
Volvo EX30 A/T / Single PLUS Extended Range 2025,"2,030,000
EGP","trending_down
-331,000
EGP","1,699,000
EGP",2025-10-21
Peugeot 5008 A/T / GT 2026,"2,574,990
EGP","trending_down
-125,000
EGP","2,449,990
EGP",2025-10-21
Peugeot 5008 A/T / Allure 2026,"2,284,990
EGP","trending_down
-110,000
EGP","2,174,990
EGP",2025-10-21
Peugeot 3008 A/T / GT 2026,"2,349,990
EGP","trending_down
-100,000
EGP","2,249,990
EGP",2025-10-21
Peugeot 3008 A/T / Allure 2026,"2,049,990
EGP","trending_down
-60,000
EGP","1,989,990
EGP",2025-10-21
Peugeot 408 A/T / GT 2026,"2,299,990
EGP","trending_down
-100,000
EGP","2,199,990
EGP",2025-10-21
Peugeot 408 A/T / ALLURE PACK 2026,"1,949,990
EGP","trending_down
-60,000
EGP","1,889,990
EGP",2025-10-21
Skoda Karoq A/T / Suite 2026,"2,150,000
EGP","trending_down
-200,000
EGP","1,950,000
EGP",2025-10-15
Skoda Superb A/T / Selection 2026,"2,550,000
EGP","trending_down
-50,000
EGP","2,500,000
EGP",2025-10-15
Skoda Kodiaq A/T / Sportline 2026,"3,250,000
EGP","trending_down
-150,000
EGP","3,100,000
EGP",2025-10-15
Skoda Kodiaq A/T / Suite 2026,"2,950,000
EGP","trending_down
-200,000
EGP","2,750,000
EGP",2025-10-15
Skoda Kodiaq A/T / Loft 2026,"2,550,000
EGP","trending_down
-100,000
EGP","2,450,000
EGP",2025-10-15
Skoda Octavia A8 A/T / Suite 2026,"2,100,000
EGP","trending_down
-150,000
EGP","1,950,000
EGP",2025-10-15
Skoda Octavia A8 A/T / Lounge 2026,"1,950,000
EGP","trending_down
-100,000
EGP","1,850,000
EGP",2025-10-15
Skoda Octavia A8 A/T / Loft 2026,"1,750,000
EGP","trending_down
-100,000
EGP","1,650,000
EGP",2025-10-15
Kaiyi X3 Pro A/T / Flagship 2026,"948,750
EGP","trending_down
-98,850
EGP","849,900
EGP",2025-10-13
Kaiyi X3 Pro A/T / Top Line 2026,"915,000
EGP","trending_down
-105,000
EGP","810,000
EGP",2025-10-13
Renault Austral A/T / Esprit Alpine / B/E 2026,"2,020,000
EGP","trending_down
-250,000
EGP","1,770,000
EGP",2025-10-13
Renault Austral A/T /  Esprit Alpine 2026,"1,990,000
EGP","trending_down
-250,000
EGP","1,740,000
EGP",2025-10-13
Renault Austral A/T / Iconic 2026,"1,880,000
EGP","trending_down
-250,000
EGP","1,630,000
EGP",2025-10-13
Renault Austral A/T / Techno 2026,"1,770,000
EGP","trending_down
-200,000
EGP","1,570,000
EGP",2025-10-13
Renault Austral A/T / Evolution 2026,"1,590,000
EGP","trending_down
-190,000
EGP","1,400,000
EGP",2025-10-13
Volvo XC90 A/T / Ultimate 2025,"5,290,000
EGP","trending_down
-340,000
EGP","4,950,000
EGP",2025-10-13
Zeekr 001 A/T / Performance AWD 2025,"3,300,000
EGP","trending_down
-351,000
EGP","2,949,000
EGP",2025-10-08
Zeekr 001 A/T / Privilege AWD 2025,"2,980,000
EGP","trending_down
-231,000
EGP","2,749,000
EGP",2025-10-08
Zeekr 001 A/T / Long Range 2025,"2,700,000
EGP","trending_down
-251,000
EGP","2,449,000
EGP",2025-10-08
Zeekr X A/T / Performance 2025,"2,250,000
EGP","trending_down
-401,000
EGP","1,849,000
EGP",2025-10-08
Zeekr X A/T / Long Range 2025,"2,100,000
EGP","trending_down
-401,000
EGP","1,699,000
EGP",2025-10-08
Ds DS7 A/T / Etoile 2025,"2,850,000
EGP","trending_down
-175,000
EGP","2,675,000
EGP",2025-10-07
Ds DS7 A/T / pallas 2025,"2,595,000
EGP","trending_down
-245,000
EGP","2,350,000
EGP",2025-10-07
MG ZS A/T / Luxury 2026,"1,080,000
EGP","trending_down
-30,010
EGP","1,049,990
EGP",2025-10-06
MG ZS Automatic / Comfort 2026,"990,000
EGP","trending_down
-60,010
EGP","929,990
EGP",2025-10-06
MG 5 A/T / Luxury 2026,"950,000
EGP","trending_down
-50,010
EGP","899,990
EGP",2025-10-06
Hyundai Accent RB A/T / Highline 2026,"930,000
EGP","trending_down
-31,000
EGP","899,000
EGP",2025-10-06
Hyundai Accent RB A/T / DAB ABS 2026,"875,000
EGP","trending_down
-25,000
EGP","850,000
EGP",2025-10-06
Hyundai Accent RB A/T / SR 2026,"829,900
EGP","trending_down
-20,000
EGP","809,900
EGP",2025-10-06
Hyundai Accent RB A/T / GL 2026,"799,900
EGP","trending_down
-20,000
EGP","779,900
EGP",2025-10-06
Nissan Qashqai AT / N-Design e-PWR 2025,"1,899,000
EGP","trending_down
-15,000
EGP","1,884,000
EGP",2025-10-01
Nissan Qashqai AT / N-Connecta 2025,"1,499,000
EGP","trending_down
-35,000
EGP","1,464,000
EGP",2025-10-01
Nissan Juke AT / N-Design 2025,"1,218,000
EGP","trending_up
+7,000
EGP","1,225,000
EGP",2025-10-01
Nissan Juke AT / Tekna 2025,"1,168,000
EGP","trending_up
+7,000
EGP","1,175,000
EGP",2025-10-01
Nissan Juke AT / ACCENTA 2025,"1,068,000
EGP","trending_up
+7,000
EGP","1,075,000
EGP",2025-10-01
Nissan XTrail A/T / E-4orce Tekna 2026,"2,350,000
EGP","trending_down
-50,010
EGP","2,299,990
EGP",2025-10-01
Nissan XTrail A/T / N-Terk 2026,"2,130,000
EGP","trending_down
-50,010
EGP","2,079,990
EGP",2025-10-01
Nissan XTrail A/T / Acenta 2WD 2026,"2,050,000
EGP","trending_down
-50,010
EGP","1,999,990
EGP",2025-10-01
Nissan Sentra A/T / Highline 2026,"920,000
EGP","trending_down
-21,000
EGP","899,000
EGP",2025-10-01
Nissan Sunny A/T / Super Saloon 2026,"810,000
EGP","trending_down
-15,000
EGP","795,000
EGP",2025-10-01
Nissan Sunny A/T / plus 2026,"780,000
EGP","trending_down
-35,000
EGP","745,000
EGP",2025-10-01
Nissan Sunny A/T / Baseline 2026,"735,000
EGP","trending_down
-45,000
EGP","690,000
EGP",2025-10-01
Smart 3 A/T / BRABUS 2025,"2,690,000
EGP","trending_down
-300,000
EGP","2,390,000
EGP",2025-10-01
Smart 3 A/T / Premium 2025,"2,490,000
EGP","trending_down
-300,000
EGP","2,190,000
EGP",2025-10-01
Smart 3 A/T / Pro+ 2025,"2,290,000
EGP","trending_down
-300,000
EGP","1,990,000
EGP",2025-10-01
Smart 1 A/T / BRABUS 2025,"2,440,000
EGP","trending_down
-300,000
EGP","2,140,000
EGP",2025-10-01
Smart 1 A/T / Premium 2025,"2,290,000
EGP","trending_down
-300,000
EGP","1,990,000
EGP",2025-10-01
Smart 1 A/T / Pure+ 2025,"1,890,000
EGP","trending_down
-400,000
EGP","1,490,000
EGP",2025-10-01
Smart 1 A/T / Pro+ 2025,"2,140,000
EGP","trending_down
-300,000
EGP","1,840,000
EGP",2025-10-01
KGM Torres Automtic /adventure plus 4*4 2025,"2,090,000
EGP","trending_down
-50,000
EGP","2,040,000
EGP",2025-09-30
KGM Torres A/T / Luxury 2025,"1,990,000
EGP","trending_down
-50,000
EGP","1,940,000
EGP",2025-09-30
KGM Torres A/T / Premium 2025,"1,849,000
EGP","trending_down
-50,000
EGP","1,799,000
EGP",2025-09-30
KGM Torres Automtic /advanced 2025,"1,699,000
EGP","trending_down
-49,000
EGP","1,650,000
EGP",2025-09-30
KGM Torres Automtic /comfort 2025,"1,575,000
EGP","trending_down
-50,000
EGP","1,525,000
EGP",2025-09-30
Hongqi Ousado A/T / Comfort 2026,"1,500,000
EGP","trending_down
-10,000
EGP","1,490,000
EGP",2025-09-30
Hyundai Tucson A/T / Blaze 2026,"1,650,000
EGP","trending_up
+150,000
EGP","1,800,000
EGP",2025-09-28
Hyundai Tucson A/T / Redine 2025,"1,849,000
EGP","trending_up
+51,000
EGP","1,900,000
EGP",2025-09-28
Changan Eado plus A/T / Flagship 2026,"1,265,000
EGP","trending_down
-65,000
EGP","1,200,000
EGP",2025-09-28
Changan Eado plus A/T / Premium 2026,"1,165,000
EGP","trending_down
-65,000
EGP","1,100,000
EGP",2025-09-28
Changan Eado plus A/T / Elite 2026,"1,065,000
EGP","trending_down
-15,000
EGP","1,050,000
EGP",2025-09-28
Alfa Romeo Tonale AT / sprint 2025,"2,690,000
EGP","trending_down
-65,000
EGP","2,625,000
EGP",2025-09-25
Alfa Romeo Stelvio A/T / Veloce 2025,"3,850,000
EGP","trending_down
-300,000
EGP","3,550,000
EGP",2025-09-25
Alfa Romeo Stelvio A/T / Sprint 2025,"3,500,000
EGP","trending_down
-175,000
EGP","3,325,000
EGP",2025-09-25
Alfa Romeo Giulia A/T / Veloce 2025,"3,300,000
EGP","trending_down
-151,000
EGP","3,149,000
EGP",2025-09-25
Alfa Romeo Giulia AT / sprint 2025,"3,000,000
EGP","trending_down
-251,000
EGP","2,749,000
EGP",2025-09-25
Jetour T2 A/T / Luxury 2026,"1,865,000
EGP","trending_down
-90,000
EGP","1,775,000
EGP",2025-09-23
Jetour T1 A/T / Luxury 2026,"1,695,000
EGP","trending_down
-110,000
EGP","1,585,000
EGP",2025-09-23
GAC GS3  Emzoom Automatic / RS Style 2025,"1,385,000
EGP","trending_down
-110,000
EGP","1,275,000
EGP",2025-09-22
GAC GS3  Emzoom Automatic / GL 2025,"1,255,000
EGP","trending_down
-60,000
EGP","1,195,000
EGP",2025-09-22
GAC GS3  Emzoom Automtic / GB 2025,"1,155,000
EGP","trending_down
-40,000
EGP","1,115,000
EGP",2025-09-22
GAC GS3  Emzoom Automtic /GS 2025,"1,095,000
EGP","trending_down
-40,000
EGP","1,055,000
EGP",2025-09-22
Baic BJ30 A/T / ULTRA 2025,"1,789,900
EGP","trending_down
-115,000
EGP","1,674,900
EGP",2025-09-16
Baic BJ30 A/T / PRO 2025,"1,689,900
EGP","trending_down
-115,000
EGP","1,574,900
EGP",2025-09-16
Baic U5 plus A/T / Top Line 2025,"899,900
EGP","trending_down
-45,000
EGP","854,900
EGP",2025-09-16
Baic U5 plus A/T / Highline 2025,"799,900
EGP","trending_down
-50,000
EGP","749,900
EGP",2025-09-16
Citroën C4 A/T / Shine Two Tone 2026,"1,550,000
EGP","trending_down
-160,000
EGP","1,390,000
EGP",2025-09-16
Citroën C5 Aircross A/T / Shine 2026,"1,850,000
EGP","trending_down
-120,000
EGP","1,730,000
EGP",2025-09-16
Citroën C5 Aircross A/T / Shine Entry 2026,"1,720,000
EGP","trending_down
-130,000
EGP","1,590,000
EGP",2025-09-16
Xpeng G9 A/T /  Long Range + Nappa 2025,"3,350,000
EGP","trending_up
+30,000
EGP","3,380,000
EGP",2025-09-15
Xpeng G9 A/T / Performance 2025,"3,700,000
EGP","trending_down
-200,000
EGP","3,500,000
EGP",2025-09-15
Xpeng G6 A/T / STANDARD RANGE 2025,"2,390,000
EGP","trending_up
+60,000
EGP","2,450,000
EGP",2025-09-15
Xpeng G6 A/T / LONG RANGE 2025,"2,590,000
EGP","trending_up
+10,000
EGP","2,600,000
EGP",2025-09-15
Renault Megane A/T / Signature Turbo 2026,"1,450,000
EGP","trending_down
-160,000
EGP","1,290,000
EGP",2025-09-14
Renault Megane A/T / Signature 2026,"1,350,000
EGP","trending_down
-160,000
EGP","1,190,000
EGP",2025-09-14
Renault Megane A/T / Dynamic 2026,"1,250,000
EGP","trending_down
-160,000
EGP","1,090,000
EGP",2025-09-14
Renault Duster A/T / H3 2026,"1,399,900
EGP","trending_down
-79,900
EGP","1,320,000
EGP",2025-09-14
Renault Duster A/T / H2 2026,"1,324,900
EGP","trending_down
-84,900
EGP","1,240,000
EGP",2025-09-14
Renault Duster A/T / H1 2026,"1,224,900
EGP","trending_down
-74,900
EGP","1,150,000
EGP",2025-09-14
Peugeot 3008 A/T / GT 2026,"2,459,990
EGP","trending_down
-110,000
EGP","2,349,990
EGP",2025-09-14
Peugeot 3008 A/T / Allure 2026,"2,199,990
EGP","trending_down
-150,000
EGP","2,049,990
EGP",2025-09-14
Peugeot 5008 A/T / GT 2026,"2,674,990
EGP","trending_down
-100,000
EGP","2,574,990
EGP",2025-09-14
Peugeot 5008 A/T / Allure 2026,"2,424,990
EGP","trending_down
-140,000
EGP","2,284,990
EGP",2025-09-14
Opel Mokka A/T / Black Edition 2026,"1,490,000
EGP","trending_down
-100,000
EGP","1,390,000
EGP",2025-09-14
Skoda Kodiaq A/T / Loft 2025,"2,549,000
EGP","trending_down
-49,000
EGP","2,500,000
EGP",2025-09-09
Skoda Karoq A/T / Luxury 2025,"2,250,000
EGP","trending_down
-150,000
EGP","2,100,000
EGP",2025-09-09
Skoda Kodiaq A/T / Sportline 2025,"3,299,000
EGP","trending_down
-99,000
EGP","3,200,000
EGP",2025-09-09
Skoda Kodiaq A/T / Suite 2025,"3,099,000
EGP","trending_down
-199,000
EGP","2,900,000
EGP",2025-09-09
Skoda Kodiaq A/T / Lounge 2025,"2,799,000
EGP","trending_down
-99,000
EGP","2,700,000
EGP",2025-09-09
Skoda Octavia A8 A/T / Suite 2025,"2,199,000
EGP","trending_down
-149,000
EGP","2,050,000
EGP",2025-09-09
Skoda Octavia A8 A/T / Lounge 2025,"1,999,000
EGP","trending_down
-99,000
EGP","1,900,000
EGP",2025-09-09
Skoda Octavia A8 A/T / Loft 2025,"1,799,000
EGP","trending_down
-99,000
EGP","1,700,000
EGP",2025-09-09
Geely Cool Ray A/T / sport / (Abou Ghaly) 2025,"1,596,000
EGP","trending_down
-297,000
EGP","1,299,000
EGP",2025-09-02
Geely Cool Ray A/T / Premium / (Abou Ghaly) 2025,"1,446,000
EGP","trending_down
-247,000
EGP","1,199,000
EGP",2025-09-02
Geely Cool Ray A/T / GL / (Abou Ghaly) 2025,"1,376,000
EGP","trending_down
-277,000
EGP","1,099,000
EGP",2025-09-02
Geely Emgrand A/T / Luxury / (Abou Ghaly) 2025,"999,000
EGP","trending_down
-60,000
EGP","939,000
EGP",2025-09-02
Geely Emgrand A/T / Comfort / (Abou Ghaly) 2025,"879,000
EGP","trending_down
-40,000
EGP","839,000
EGP",2025-09-02
Geely Starray A/T / Sport + (Abou Ghaly) 2025,"1,879,000
EGP","trending_down
-110,000
EGP","1,769,000
EGP",2025-09-02
Geely Starray A/T / Sport (Abou Ghaly) 2025,"1,799,000
EGP","trending_down
-100,000
EGP","1,699,000
EGP",2025-09-02
Geely Starray A/T / Premium (Abou Ghaly) 2025,"1,699,000
EGP","trending_down
-100,000
EGP","1,599,000
EGP",2025-09-02
Geely Starray A/T / Comfort / (Abou Ghaly) 2025,"1,599,000
EGP","trending_down
-100,000
EGP","1,499,000
EGP",2025-09-02
Seat Arona A/T / FR / Black 2025,"1,349,000
EGP","trending_down
-60,000
EGP","1,289,000
EGP",2025-09-02
Seat Ateca A/T / FR 2025,"1,949,000
EGP","trending_down
-100,000
EGP","1,849,000
EGP",2025-09-02
Seat Ateca A/T / Style Plus 2025,"1,749,000
EGP","trending_down
-40,000
EGP","1,709,000
EGP",2025-09-02
Seat Leon A/T / Advance 2025,"1,499,000
EGP","trending_down
-25,000
EGP","1,474,000
EGP",2025-09-02
Seat Arona A/T / Experience 2025,"1,319,000
EGP","trending_down
-30,000
EGP","1,289,000
EGP",2025-09-02
Seat Ibiza A/T / Black Series 2025,"1,339,000
EGP","trending_down
-80,000
EGP","1,259,000
EGP",2025-09-02
Seat Ibiza A/T / FR 2025,"1,269,000
EGP","trending_down
-70,000
EGP","1,199,000
EGP",2025-09-02
Seat Ibiza A/T / Reference 2025,"1,069,000
EGP","trending_down
-70,000
EGP","999,000
EGP",2025-09-02
Nissan Sentra A/T / Highline 2026,"888,000
EGP","trending_up
+32,000
EGP","920,000
EGP",2025-09-02
Haval Jolion A/T / High Deluxe 2025,"1,300,000
EGP","trending_down
-75,000
EGP","1,225,000
EGP",2025-09-02
Haval Jolion A/T / Deluxe SR 2025,"1,250,000
EGP","trending_down
-75,000
EGP","1,175,000
EGP",2025-09-02
Haval H6 HEV A/T / High Deluxe 2026,"1,690,000
EGP","trending_down
-100,000
EGP","1,590,000
EGP",2025-09-02
Haval H6 HEV A/T / High Deluxe 2025,"1,660,000
EGP","trending_down
-90,000
EGP","1,570,000
EGP",2025-09-02
Cupra Terramar AT / CONTROL 2025,"2,539,000
EGP","trending_down
-240,000
EGP","2,299,000
EGP",2025-09-02
Cupra Terramar A/T / IMPULSE 2025,"2,449,000
EGP","trending_down
-250,000
EGP","2,199,000
EGP",2025-09-02
Cupra Leon Automatic 2025,"1,799,000
EGP","trending_down
-55,000
EGP","1,744,000
EGP",2025-09-02
Jac JS6 A/T / LIMITED 2026,"1,225,000
EGP","trending_up
+15,000
EGP","1,240,000
EGP",2025-09-01
Hyundai Elantra AD A/T / Top Line 2025,"1,170,000
EGP","trending_down
-50,000
EGP","1,120,000
EGP",2025-09-01
Hyundai Elantra AD A/T / Modern 2025,"1,065,000
EGP","trending_down
-50,000
EGP","1,015,000
EGP",2025-09-01
Hyundai Elantra AD A/T / Smart 2025,"985,000
EGP","trending_down
-50,000
EGP","935,000
EGP",2025-09-01
Hyundai Elantra AD A/T / Top Line 2026,"1,185,000
EGP","trending_down
-50,000
EGP","1,135,000
EGP",2025-09-01
Hyundai Elantra AD A/T / Modern 2026,"1,080,000
EGP","trending_down
-50,000
EGP","1,030,000
EGP",2025-09-01
Hyundai Elantra AD A/T / Smart 2026,"995,000
EGP","trending_down
-50,000
EGP","945,000
EGP",2025-09-01
Chery Tiggo 7 A/T / Highline 2026,"1,080,000
EGP","trending_down
-81,000
EGP","999,000
EGP",2025-09-01
Chery Tiggo 7 A/T /  Baseline 2026,"995,000
EGP","trending_down
-66,000
EGP","929,000
EGP",2025-09-01
Chery Tiggo 4 Pro A/T / Highline / Turbo 2026,"1,055,000
EGP","trending_down
-75,000
EGP","980,000
EGP",2025-09-01
Chery Tiggo 4 Pro A/T / Luxury 2026,"980,000
EGP","trending_down
-65,000
EGP","915,000
EGP",2025-09-01
Chery Tiggo 4 Pro A/T / Comfort 2026,"900,000
EGP","trending_down
-25,000
EGP","875,000
EGP",2025-09-01
Chery EQ7 Automtic 2026,"1,720,000
EGP","trending_down
-121,000
EGP","1,599,000
EGP",2025-09-01
Geely Cool Ray A/T / Sport (AUTO MOBILITY) Local simplified 2025,"1,299,000
EGP","trending_down
-100,000
EGP","1,199,000
EGP",2025-08-27
Geely Cool Ray A/T / Premium ( AUTO MOBILITY) Local simplified 2025,"1,199,000
EGP","trending_down
-100,000
EGP","1,099,000
EGP",2025-08-27
Geely Cool Ray A/T / Comfort ( AUTO MOBILITY)Local simplified 2025,"1,099,000
EGP","trending_down
-100,000
EGP","999,000
EGP",2025-08-27
Geely Cool Ray A/T / Comfort ( AUTO MOBILITY)Local simplified 2025,"999,000
EGP","trending_up
+100,000
EGP","1,099,000
EGP",2025-08-27
Geely Cool Ray A/T / Comfort ( AUTO MOBILITY)Local simplified 2025,"1,099,000
EGP","trending_down
-100,000
EGP","999,000
EGP",2025-08-27
Geely Emgrand Automtic / Luxury /  ( AUTO MOBILITY)Local simplified 2025,"999,000
EGP","trending_down
-60,000
EGP","939,000
EGP",2025-08-27
Geely Emgrand Automatic / Comfort /  ( AUTO MOBILITY)Local simplified 2025,"879,000
EGP","trending_down
-40,000
EGP","839,000
EGP",2025-08-27
GAC Empow A/T / GE S-Style 2025,"1,385,000
EGP","trending_down
-45,000
EGP","1,340,000
EGP",2025-08-27
GAC Empow A/T / GB 2025,"1,275,000
EGP","trending_down
-45,000
EGP","1,230,000
EGP",2025-08-27
